twitter_handle_id,degree_total,degree_in,degree_out,pr,adj_tri
2270959364,5,5,0,7.835308318507036e-4,0.2
578380018,2,2,0,4.563666055764144e-4,0
1.17761e+18,3,3,0,3.5513331695301417e-4,0
17002351,3,3,0,6.286404940572544e-4,0
9.41994e+17,5,5,0,7.814448106015046e-4,0.4
1.1886e+18,5,5,0,8.449281098178906e-4,0.1
508182536,1,1,0,2.7103083773565104e-4,0
1.05532e+18,2,2,0,3.723129447173739e-4,0
9.8832e+17,3,3,0,3.469691236153742e-4,0
1.37745e+18,9,9,0,0.0010062779391816895,0.2222222222222222
8.57404e+17,1,1,0,2.771538983213507e-4,0
1.25108e+18,5,5,0,7.628704852253708e-4,0.1
4898301,1,1,0,2.9684620072523745e-4,0
9.30041e+17,1,1,0,2.8585600569072114e-4,0
415671881,1,1,0,3.223935773528402e-4,0
900265802,5,5,0,6.625139489682679e-4,0
1.13483e+18,2,2,0,3.7662189524560177e-4,0
1080996930,1,1,0,2.7354135125453216e-4,0
77380160,2,2,0,4.440519511402255e-4,0
1.31836e+18,1,1,0,3.164506547729476e-4,0
1076938928,1,1,0,3.711113056335678e-4,0
1.12839e+18,6,6,0,6.883978639049393e-4,0.26666666666666666
1.1546e+18,2,2,0,4.279481722621322e-4,0
7.6654e+17,1,1,0,2.982790798968811e-4,0
431831209,1,1,0,3.711113056335678e-4,0
271537125,1,1,0,2.738882832523383e-4,0
122310026,1,1,0,2.738882832523383e-4,0
1.10395e+18,1,1,0,2.601977814510877e-4,0
46737288,1,1,0,2.8585600569072114e-4,0
1.37122e+18,2,2,0,4.563666055764144e-4,0
1.31784e+18,2,2,0,4.563666055764144e-4,0
1.1954e+18,2,2,0,3.688050385771025e-4,0
120111839,2,2,0,3.3998009319102546e-4,0
1.01843e+18,1,1,0,3.2912532093512704e-4,0
9.51666e+17,2,2,0,3.3763352413247456e-4,0
1.36894e+18,1,1,0,3.711113056335678e-4,0
1.3648e+18,1,1,0,3.194658128880456e-4,0
1.27083e+18,2,2,0,5.729114071805256e-4,0
1.37268e+18,4,4,0,7.845995103563741e-4,0
1.26266e+18,3,3,0,5.384478084571418e-4,0
1.11295e+18,1,1,0,2.4386454377743722e-4,0
7.76437e+17,1,1,0,2.4386454377743722e-4,0
4881139042,2,2,0,2.6690304353311e-4,0
2227436731,2,2,0,2.846132256977065e-4,0
7.30114e+17,1,1,0,2.4386454377743722e-4,0
124996190,1,1,0,2.4386454377743722e-4,0
589054850,1,1,0,2.4386454377743722e-4,0
17228521,1,1,0,2.4386454377743722e-4,0
1.11543e+18,1,1,0,2.4386454377743722e-4,0
7.19909e+17,1,1,0,2.4386454377743722e-4,0
1.18874e+18,1,1,0,2.4386454377743722e-4,0
1.19378e+18,1,1,0,2.4386454377743722e-4,0
71819987,2,2,0,4.143751436631306e-4,0
978776468,3,3,0,4.217277028598788e-4,0
578841971,1,1,0,2.4386454377743722e-4,0
8.92376e+17,4,4,0,6.363476365500455e-4,0.16666666666666666
1.35697e+18,1,1,0,3.711113056335678e-4,0
1.32391e+18,1,1,0,3.314359152366594e-4,0
4777383375,4,4,0,8.643626476547122e-4,0.3333333333333333
755890603,4,4,0,6.827637579888008e-4,0
1.33313e+18,4,4,0,9.96935632526333e-4,0
1.32621e+18,3,3,0,6.079757020663064e-4,0.3333333333333333
1.21328e+18,2,2,0,4.065394924855191e-4,0
1.2559e+18,2,2,0,5.141818962180236e-4,0
8.62801e+17,2,2,0,3.1919163459663503e-4,0
1.37172e+18,2,2,0,3.8129271224988026e-4,0
1.37578e+18,3,3,0,4.212361889311893e-4,0
438997939,2,2,0,3.1919163459663503e-4,0
1.30771e+18,2,2,0,3.2575548606397336e-4,0
1482611202,1,1,0,2.8585600569072114e-4,0
128104826,1,1,0,2.8585600569072114e-4,0
1.30541e+18,1,1,0,2.447115098766815e-4,0
161590330,2,2,0,4.1522210976237484e-4,0
2924439129,1,1,0,2.8585600569072114e-4,0
852267594,1,1,0,2.352844274572139e-4,0
1.17945e+18,3,3,0,3.0927174890516495e-4,0
175096743,1,1,0,2.3256016900480048e-4,0
1.34791e+18,2,2,0,2.9515504301986264e-4,1
1.289e+18,2,2,0,2.7941995894732784e-4,0
1.15985e+18,1,1,0,3.583230106421408e-4,0
9.42133e+17,1,1,0,2.315251892425644e-4,0
8.8674e+17,3,3,0,3.6166901584924277e-4,0
262905402,1,1,0,2.315251892425644e-4,0
36172970,1,1,0,2.315251892425644e-4,0
193990081,2,2,0,2.264446470137152e-4,0
1.36613e+18,1,1,0,2.176517657364438e-4,0
1.34167e+18,1,1,0,2.176517657364438e-4,0
1.37002e+18,4,4,0,3.3693432916207547e-4,0.3333333333333333
1.36661e+18,2,2,0,3.881623656221371e-4,0
149968455,1,1,0,2.176517657364438e-4,0
1.09926e+18,2,2,0,2.882091776106711e-4,0
392884670,2,2,0,5.195666665895022e-4,0
702303373,3,3,0,2.9846796646090405e-4,0
1.13485e+18,2,2,0,5.567939974566764e-4,0
49515709,1,1,0,2.4134938766814378e-4,0
502600440,3,3,0,5.719749805803446e-4,0
1.12968e+18,3,3,0,4.7403523440212107e-4,0
176578819,1,1,0,2.4320856558343682e-4,0
1.27496e+18,4,4,0,4.4888183028568996e-4,0.16666666666666666
